ems_id,monitoring_location,n_records,min_date,max_date,n_params,n_dates,location_type,lat,lon
E238622,BUCK CREEK @ 12 KM,116,1999-08-23,2004-09-09,51,2,21,54.2833,-126.65
E238640,AILPORT CREEK,112,1999-08-23,1999-08-23,1,1,21,54.4666,-126.25
E238643,BULKLEY RIVER @ KNOCKHOLT,109,1999-08-23,1999-08-23,1,1,21,54.4333,-126.5833
E238642,BESSEMER CREEK,98,1999-08-23,1999-08-23,1,1,21,54.15,-126.3166
E238633,CESFORD CREEK - REF,95,1999-08-23,1999-08-23,1,1,21,54.5333,-126.2833
E238634,CESFORD CREEK U/S,89,1999-08-23,1999-08-23,1,1,21,54.5166,-126.3166
E238630,JOHNNY DAVID CREEK,88,1999-08-23,1999-08-23,1,1,21,54.5166,-126.4
E235011,PEROW CREEK SOUTH OF PEROW LANDFILL PR03782,86,1998-11-30,1998-11-30,75,1,21,54.5232,-126.4468
E238626,BARREN CREEK,85,1999-08-23,1999-08-23,1,1,21,54.45,-126.5666
E238625,BUCK CREEK @ BULKLEY CONF.,75,1999-08-23,1999-08-23,1,1,21,54.4,-126.6666
E238631,RICHFIELD CREEK D/S,74,1999-08-23,1999-08-23,1,1,21,54.5,-126.3666
E238624,BUCK CREEK BEHIND MALL,73,1999-08-23,1999-08-23,1,1,21,54.3833,-126.6666
E238627,MCQUARRIE CREEK D/S,67,1999-08-23,1999-08-23,1,1,21,54.5,-126.4666
E228337,KLO CREEK,66,1997-09-22,1997-09-22,11,1,21,54.2067,-126.4217
E238629,BYMAN CREEK,66,1999-08-23,1999-08-23,1,1,21,54.5166,-126.45
E238800,BULKLEY RIVER @ CRAKER RD. CROSSING,65,1999-08-26,1999-08-26,1,1,21,54.45,-126.5166
1100285,MAXAN LAKE; INFLOW,25,1975-05-26,1975-05-26,24,1,21,54.2931,-126.0967
E212891,800 METRES DOWNSTREAM OF OUTFALL,12,1992-08-31,1994-08-23,1,2,21,54.3906,-126.6783
E228317,BUCK CREEK,12,1997-09-22,1997-09-22,10,1,21,54.1882,-126.5513
0400760,EQUITY SILVER PE04475 SEEPAGE NO. 1 DAM,234,1980-09-10,1981-12-15,20,15,23,54.2114,-126.2608
E273004,BALSAM ROAD NEAR 14 KM  BUCK FLATS,38,2008-08-15,2008-08-15,38,1,23,54.26,-126.63
E266925,TOPLEY REST AREA,31,2008-05-21,2008-05-21,31,1,33,54.5101,-126.31442
E209023,LUND CREEK DEV. PE05674 SEWAGE,3,1998-06-12,1998-06-12,3,1,36,54.3052,-126.2819
E216161,EQUITY PIEZOMETER RH-82-06 #1 DAM SEEPAGE,1054,1982-03-10,1994-12-13,20,35,38,54.195506,-126.267968
E216160,EQUITY PIEZOMETER RH-82-05 LOWER BESSEMER CK,655,1982-10-24,1994-12-13,19,30,38,54.1771,-126.2883
E216153,EQUITY PIEZOMETER RH-82-01 LU CK DIVERSION,550,1982-10-24,1993-10-19,19,20,38,54.1903,-126.284
E228921,MR-8856 KNOCKHOLT LANDFILL WELL BH-4,546,1997-10-30,2006-10-19,145,5,38,54.4419,-126.525
0700164,GOLDCORP EQUITY SILVER MINE (PE04475) PIEZOMETER RH-82-03,444,1982-10-25,1992-06-24,47,31,38,54.10454,-126.1782
E228917,MR-8856 KNOCKHOLT LANDFILL WELL BH-1,416,1997-10-30,2006-11-19,100,5,38,54.4389,-126.5272
E228920,MR-8856 KNOCKHOLT LANDFILL WELL BH-3,330,1997-10-30,2006-10-19,100,4,38,54.4414,-126.5306
E228918,MR-8856 KNOCKHOLT LANDFILL WELL BH-2A,248,1997-10-30,2004-10-14,97,3,38,54.440311,-126.526111
E228919,MR-8856 KNOCKHOLT LANDFILL WELL BH-2B,245,1997-10-30,2006-11-19,96,3,38,54.440311,-126.526111
E216154,EQUITY PIEZOMETER RH-82-02 W. SIDE WASTE DUMP,226,1983-07-20,1994-09-26,20,23,38,54.1888,-126.2875
0700148,EQUITY WEST PIEZOMETER BEKIW SEEPAGE POND,95,1982-11-01,1983-02-08,42,2,38,54.2122,-126.2594
0700147,EQUITY EAST PIEZOMETER BELOW SEEPAGE POND,94,1982-11-01,1983-02-08,42,2,38,54.2122,-126.2583
E235012,VANNER BYMAN WELL,85,1998-11-30,1998-11-30,75,1,38,54.5169,-126.4437
E235013,TIM BYMAN WELL,85,1998-11-30,1998-11-30,74,1,38,54.5205,-126.4437
E278909,OBS WELL 386 - HOUSTON,713,2010-03-16,2019-08-23,115,9,45,54.400036,-126.655455
