site,replicate,sample,date,metric,value,is_pct,category
BUL 01,B,BUL 01 B,3-Oct-25,Shannon-Weiner H' (log 10),1.33,FALSE,Diversity
BUL 01,C,BUL 01 C,3-Oct-25,Shannon-Weiner H' (log 10),1.37,FALSE,Diversity
BUL 04,A,BUL 04 A,2-Oct-25,Shannon-Weiner H' (log 10),1.34,FALSE,Diversity
BUL 04,B,BUL 04 B,2-Oct-25,Shannon-Weiner H' (log 10),1.26,FALSE,Diversity
BUL 04,C,BUL 04 C,2-Oct-25,Shannon-Weiner H' (log 10),1.17,FALSE,Diversity
BUL 05,A,BUL 05 A,28-Sep-25,Shannon-Weiner H' (log 10),1.14,FALSE,Diversity
BUL 05,B,BUL 05 B,2-Oct-25,Shannon-Weiner H' (log 10),1.1,FALSE,Diversity
BUL 05,C,BUL 05 C,2-Oct-25,Shannon-Weiner H' (log 10),0.99,FALSE,Diversity
BUL 01,A,BUL 01 A,3-Oct-25,Shannon-Weiner H' (log 2),3.99,FALSE,Diversity
BUL 01,B,BUL 01 B,3-Oct-25,Shannon-Weiner H' (log 2),4.43,FALSE,Diversity
BUL 01,C,BUL 01 C,3-Oct-25,Shannon-Weiner H' (log 2),4.54,FALSE,Diversity
BUL 04,A,BUL 04 A,2-Oct-25,Shannon-Weiner H' (log 2),4.44,FALSE,Diversity
BUL 04,B,BUL 04 B,2-Oct-25,Shannon-Weiner H' (log 2),4.17,FALSE,Diversity
BUL 04,C,BUL 04 C,2-Oct-25,Shannon-Weiner H' (log 2),3.9,FALSE,Diversity
BUL 05,A,BUL 05 A,28-Sep-25,Shannon-Weiner H' (log 2),3.8,FALSE,Diversity
BUL 05,B,BUL 05 B,2-Oct-25,Shannon-Weiner H' (log 2),3.66,FALSE,Diversity
BUL 05,C,BUL 05 C,2-Oct-25,Shannon-Weiner H' (log 2),3.3,FALSE,Diversity
BUL 01,A,BUL 01 A,3-Oct-25,Shannon-Weiner H' (log e),2.77,FALSE,Diversity
BUL 01,B,BUL 01 B,3-Oct-25,Shannon-Weiner H' (log e),3.07,FALSE,Diversity
BUL 01,C,BUL 01 C,3-Oct-25,Shannon-Weiner H' (log e),3.15,FALSE,Diversity
BUL 04,A,BUL 04 A,2-Oct-25,Shannon-Weiner H' (log e),3.08,FALSE,Diversity
BUL 04,B,BUL 04 B,2-Oct-25,Shannon-Weiner H' (log e),2.89,FALSE,Diversity
BUL 04,C,BUL 04 C,2-Oct-25,Shannon-Weiner H' (log e),2.7,FALSE,Diversity
BUL 05,A,BUL 05 A,28-Sep-25,Shannon-Weiner H' (log e),2.64,FALSE,Diversity
BUL 05,B,BUL 05 B,2-Oct-25,Shannon-Weiner H' (log e),2.54,FALSE,Diversity
BUL 05,C,BUL 05 C,2-Oct-25,Shannon-Weiner H' (log e),2.29,FALSE,Diversity
BUL 01,A,BUL 01 A,3-Oct-25,Simpson's Index (D),0.12,FALSE,Diversity
BUL 01,B,BUL 01 B,3-Oct-25,Simpson's Index (D),0.06,FALSE,Diversity
BUL 01,C,BUL 01 C,3-Oct-25,Simpson's Index (D),0.06,FALSE,Diversity
BUL 04,A,BUL 04 A,2-Oct-25,Simpson's Index (D),0.08,FALSE,Diversity
BUL 04,B,BUL 04 B,2-Oct-25,Simpson's Index (D),0.1,FALSE,Diversity
BUL 04,C,BUL 04 C,2-Oct-25,Simpson's Index (D),0.15,FALSE,Diversity
BUL 05,A,BUL 05 A,28-Sep-25,Simpson's Index (D),0.17,FALSE,Diversity
BUL 05,B,BUL 05 B,2-Oct-25,Simpson's Index (D),0.19,FALSE,Diversity
BUL 05,C,BUL 05 C,2-Oct-25,Simpson's Index (D),0.24,FALSE,Diversity
BUL 01,A,BUL 01 A,3-Oct-25,Simpson's Index of Diversity (1 - D),0.88,FALSE,Diversity
BUL 01,B,BUL 01 B,3-Oct-25,Simpson's Index of Diversity (1 - D),0.94,FALSE,Diversity
BUL 01,C,BUL 01 C,3-Oct-25,Simpson's Index of Diversity (1 - D),0.94,FALSE,Diversity
BUL 04,A,BUL 04 A,2-Oct-25,Simpson's Index of Diversity (1 - D),0.92,FALSE,Diversity
BUL 04,B,BUL 04 B,2-Oct-25,Simpson's Index of Diversity (1 - D),0.9,FALSE,Diversity
BUL 04,C,BUL 04 C,2-Oct-25,Simpson's Index of Diversity (1 - D),0.85,FALSE,Diversity
BUL 05,A,BUL 05 A,28-Sep-25,Simpson's Index of Diversity (1 - D),0.83,FALSE,Diversity
BUL 05,B,BUL 05 B,2-Oct-25,Simpson's Index of Diversity (1 - D),0.81,FALSE,Diversity
BUL 05,C,BUL 05 C,2-Oct-25,Simpson's Index of Diversity (1 - D),0.76,FALSE,Diversity
BUL 01,A,BUL 01 A,3-Oct-25,Simpson's Reciprocal Index (1/D),8.07,FALSE,Diversity
BUL 01,B,BUL 01 B,3-Oct-25,Simpson's Reciprocal Index (1/D),15.48,FALSE,Diversity
BUL 01,C,BUL 01 C,3-Oct-25,Simpson's Reciprocal Index (1/D),15.6,FALSE,Diversity
BUL 04,A,BUL 04 A,2-Oct-25,Simpson's Reciprocal Index (1/D),12.73,FALSE,Diversity
BUL 04,B,BUL 04 B,2-Oct-25,Simpson's Reciprocal Index (1/D),9.87,FALSE,Diversity
BUL 04,C,BUL 04 C,2-Oct-25,Simpson's Reciprocal Index (1/D),6.9,FALSE,Diversity
BUL 05,A,BUL 05 A,28-Sep-25,Simpson's Reciprocal Index (1/D),5.83,FALSE,Diversity
BUL 05,B,BUL 05 B,2-Oct-25,Simpson's Reciprocal Index (1/D),5.36,FALSE,Diversity
BUL 05,C,BUL 05 C,2-Oct-25,Simpson's Reciprocal Index (1/D),4.17,FALSE,Diversity
BUL 01,A,BUL 01 A,3-Oct-25,Hilsenhoff Biotic Index,3.91,FALSE,Biotic Index
BUL 01,B,BUL 01 B,3-Oct-25,Hilsenhoff Biotic Index,4.19,FALSE,Biotic Index
BUL 01,C,BUL 01 C,3-Oct-25,Hilsenhoff Biotic Index,4.31,FALSE,Biotic Index
BUL 04,A,BUL 04 A,2-Oct-25,Hilsenhoff Biotic Index,4.57,FALSE,Biotic Index
BUL 04,B,BUL 04 B,2-Oct-25,Hilsenhoff Biotic Index,3.14,FALSE,Biotic Index
BUL 04,C,BUL 04 C,2-Oct-25,Hilsenhoff Biotic Index,2.81,FALSE,Biotic Index
BUL 05,A,BUL 05 A,28-Sep-25,Hilsenhoff Biotic Index,2.72,FALSE,Biotic Index
BUL 05,B,BUL 05 B,2-Oct-25,Hilsenhoff Biotic Index,2.61,FALSE,Biotic Index
BUL 05,C,BUL 05 C,2-Oct-25,Hilsenhoff Biotic Index,2.4,FALSE,Biotic Index
