ems_id,monitoring_location,date,nh3,ph,temp_ems,month,temp_monthly,temp,temp_source,wqg_limit,exceeds,station
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1984-11-20,0.03,7,NA,11,0.9454739776951667,0.9454739776951667,monthly_climatology,2.0488875709595114,FALSE,D/S Houston Sewage (2.4 km)
0400297,BULKLEY RIVER U/S HOUSTON STP,1986-09-15,0.005,8,NA,9,13.11209086694483,13.11209086694483,monthly_climatology,1.1023879572092625,FALSE,U/S Houston STP
0400297,BULKLEY RIVER U/S HOUSTON STP,1988-09-12,0.005,7.9,NA,9,13.11209086694483,13.11209086694483,monthly_climatology,1.3117139967240508,FALSE,U/S Houston STP
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,1990-07-03,0.005,7.7,NA,7,18.159218691588784,18.159218691588784,monthly_climatology,1.7566306957337423,FALSE,D/S Houston STP Outfall
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1984-07-25,0.02,8,NA,7,18.159218691588784,18.159218691588784,monthly_climatology,1.0753007607954939,FALSE,D/S Houston Sewage (2.4 km)
0400297,BULKLEY RIVER U/S HOUSTON STP,1999-03-17,0.02,6.56,0.7,3,0.38433522727272784,0.7,measured,2.055076757525267,FALSE,U/S Houston STP
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1984-10-24,0.014,7.6,NA,10,6.969175675675677,6.969175675675677,monthly_climatology,1.9066430222077417,FALSE,D/S Houston Sewage (2.4 km)
0400297,BULKLEY RIVER U/S HOUSTON STP,2000-03-15,0.04,6.7,0.03,3,0.38433522727272784,0.03,measured,2.075918794380327,FALSE,U/S Houston STP
0400297,BULKLEY RIVER U/S HOUSTON STP,2000-06-14,0.04,6.57,10,6,14.85150622406639,10,measured,1.8394548864399138,FALSE,U/S Houston STP
0400297,BULKLEY RIVER U/S HOUSTON STP,1999-06-16,0.03,6.88,15.2,6,14.85150622406639,15.2,measured,2.160691258771065,FALSE,U/S Houston STP
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,1995-02-09,0.16,7.3,NA,2,0.25514467876409996,0.25514467876409996,monthly_climatology,2.0715221473600787,FALSE,D/S Houston STP Outfall
