ems_id,monitoring_location,location_type,location_purpose,lat,lon,n_samples_catalogue,n_results_catalogue,first_sample,last_sample
1100285,MAXAN LAKE; INFLOW,21,5,54.2931,-126.0967,2,25,1975-05-26,1975-05-26
E228317,BUCK CREEK,21,1,54.1882,-126.5513,3,12,1997-09-22,1997-09-22
E212891,800 METRES DOWNSTREAM OF OUTFALL,21,2,54.3906,-126.6783,12,12,1992-08-31,1994-08-23
0700194,LUND CK DEV. PE05674 HOUSTON,21,2,54.5128,-126.4669,0,0,NA,NA
E206600,DIVERSION POND TO FOXY CREEK EQUITY SILVER,21,3,54.2108,-126.2817,0,0,NA,NA
E219803,BULKLEY RIVER U/S HOUSTON STP-AVALON CREEK,21,1,54.4003,-126.0701,0,0,NA,NA
E219805,BULKLEY RIVER D/S HOUSTON STP,21,2,54.3906,-126.6783,0,0,NA,NA
E236749,KLO CREEK U/S,21,1,54.2333,-126.4667,0,0,NA,NA
E238637,MAXAN CREEK - REF,21,1,54.3166,-126.1166,0,0,NA,NA
E238641,BUCK CREEK ABOVE GOOSLY LAKE,21,1,54.1333,-126.3166,0,0,NA,NA
E238644,BULKLEY RIVER @ DAY LAKE BRIDGE,21,1,54.4,-126.2166,0,0,NA,NA
E250597,BULKLEY RIVER GAUGE AT HOUSTON,21,6,54.4058,-126.6314,0,0,NA,NA
E285351,GOLDCORP EQUITY MINE (PE044575) BESSEMER CREEK 1,21,2,54.11196,-126.1701,0,0,NA,NA
E285352,GOLDCORP EQUITY MINE (PE04475) BESSEMER CK 4,21,2,54.1159,-126.17179,0,0,NA,NA
E285353,GOLDCORP EQUITY MINE (PE04475) BESSEMER CK. 5,21,2,54.10517,-126.17163,0,0,NA,NA
E285354,GOLDCORP EQUITY MINE (PE04475) BESSEMER CK. 6,21,2,54.10548,-126.17179,0,0,NA,NA
E285355,GOLDCORP EQUITY MINE (PE04475) BESSEMER CK 7,21,2,54.10517,-126.17163,0,0,NA,NA
E285356,GOLDCORP EQUITY MINE (PE04475) BESSEMER CK 8,21,2,54.10494,-126.17163,0,0,NA,NA
E279759,BUCK CREEK AT THE MOUTH,21,6,54.39778,-126.65111,0,0,NA,NA
