ems_id,monitoring_location,date,year,month,parameter,result,unit,method_detection_limit,result_letter
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1998-05-19,1998,5,Oxygen Dissolved,3.6,mg/L,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1998-06-24,1998,6,pH,7.84,pH units,NA,NA
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,1998-12-16,1998,12,Specific Conductance,183.3,uS/cm,NA,NA
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,1998-10-14,1998,10,Temperature,3.8,C,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1998-10-14,1998,10,Residue: Non-filterable (TSS),5,mg/L,NA,NA
0400297,BULKLEY RIVER U/S HOUSTON STP,1998-09-16,1998,9,Temperature,8.7,C,NA,NA
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,1998-09-16,1998,9,Specific Conductance,195.9,uS/cm,NA,NA
0400297,BULKLEY RIVER U/S HOUSTON STP,1998-11-17,1998,11,pH,6.75,pH units,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1998-08-24,1998,8,Temperature,16.8,C,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1998-11-23,1998,11,pH,6.74,pH units,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1999-01-25,1999,1,Temperature,2.5,C,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1999-01-29,1999,1,pH,7.04,pH units,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1999-05-28,1999,5,pH,7.77,pH units,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1999-05-18,1999,5,pH,7.82,pH units,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1999-09-09,1999,9,Oxygen Dissolved,11,mg/L,NA,NA
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,1999-10-13,1999,10,Specific Conductance,159.1,uS/cm,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,2000-03-14,2000,3,Oxygen Dissolved,3,mg/L,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,2000-03-03,2000,3,Oxygen Dissolved,2.8,mg/L,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,2000-04-18,2000,4,Specific Conductance,749,uS/cm,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,2000-09-07,2000,9,pH,7.23,pH units,NA,NA
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,2000-11-15,2000,11,Residue: Non-filterable (TSS),4,mg/L,NA,NA
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,2000-07-19,2000,7,Oxygen Dissolved,8.67,mg/L,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,2000-12-04,2000,12,Oxygen Dissolved,3.21,mg/L,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,2000-12-05,2000,12,Temperature,5.4,C,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,2000-07-20,2000,7,Temperature,20.4,C,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,2000-07-21,2000,7,Temperature,20,C,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,2000-10-03,2000,10,Oxygen Dissolved,4.41,mg/L,NA,NA
E228918,MR-8856 KNOCKHOLT LANDFILL WELL BH-2A,2004-10-13,2004,10,pH,8.2,pH units,0.1,NA
E294170,WQ E1 (GOOSLY LAKE TRIB),2015-08-19,2015,8,pH,7.97,pH units,NA,NA
E307186,UBR D/S BULKLEY LAKE,2017-07-11,2017,7,Specific Conductance,119,uS/cm,2,NA
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,2017-05-15,2017,5,Residue: Non-filterable (TSS),7.6,mg/L,3,NA
E219804,BUCK CREEK D/S HIGHWAY 16 (U/S HOUSTON STP),2017-03-08,2017,3,Residue: Non-filterable (TSS),3,mg/L,3,<
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,2017-07-31,2017,7,Residue: Non-filterable (TSS),8.4,mg/L,3,NA
0700084,GOOSLY LAKE PE04475 EQUITY SILVER,1982-05-26,1982,5,Specific Conductance,109,uS/cm,NA,NA
0700084,GOOSLY LAKE PE04475 EQUITY SILVER,1984-08-15,1984,8,pH,7.6,pH units,NA,NA
0400764,LOWER FOXY CREEK - DOWNSTREAM OF EQUITY MINESITE,1983-05-17,1983,5,pH,6.98,pH units,NA,NA
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1987-10-07,1987,10,pH,7.8,pH units,NA,NA
0400297,BULKLEY RIVER U/S HOUSTON STP,1987-08-16,1987,8,Specific Conductance,167,uS/cm,NA,NA
0400297,BULKLEY RIVER U/S HOUSTON STP,1987-08-16,1987,8,Turbidity,1,NTU,NA,NA
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,1993-01-25,1993,1,pH,6.88,pH units,NA,NA
1100282,MAXAN LAKE; AT CENTER,1975-05-26,1975,5,Temperature,5,C,NA,NA
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,1985-03-18,1985,3,Residue: Non-filterable (TSS),3,mg/L,NA,NA
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,1994-08-29,1994,8,Residue: Non-filterable (TSS),1,mg/L,NA,NA
