ems_id,monitoring_location,date,year,month,parameter,param_abb,result,unit,method_detection_limit,result_letter,below_detect,latitude,longitude
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,1987-08-23,1987,8,Nitrogen - Nitrite Dissolved (NO2),no2,0.005,mg/L,NA,<,TRUE,54.3936,-126.6725
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1985-08-13,1985,8,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.02,mg/L,NA,<,TRUE,54.3967,-126.7092
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1985-03-11,1985,3,Phosphorus Total Dissolved,tdp,0.045,mg/L,NA,NA,FALSE,54.3967,-126.7092
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,1986-07-14,1986,7,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.07,mg/L,NA,NA,FALSE,54.1681,-126.3322
0400297,BULKLEY RIVER U/S HOUSTON STP,1992-08-04,1992,8,Nitrogen - Nitrite Dissolved (NO2),no2,0.005,mg/L,NA,<,TRUE,54.4006,-126.6675
0400297,BULKLEY RIVER U/S HOUSTON STP,1974-07-10,1974,7,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.02,mg/L,NA,<,TRUE,54.4006,-126.6675
0700084,GOOSLY LAKE PE04475 EQUITY SILVER,1983-05-04,1983,5,Phosphorus Total,tp,0.025,mg/L,NA,NA,FALSE,54.1769,-126.3597
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1987-06-17,1987,6,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.02,mg/L,NA,<,TRUE,54.3967,-126.7092
0400297,BULKLEY RIVER U/S HOUSTON STP,1987-08-23,1987,8,Phosphorus Ort.Dis-P,srp,0.011,mg/L,NA,NA,FALSE,54.4006,-126.6675
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,1989-05-16,1989,5,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.16,mg/L,NA,NA,FALSE,54.1681,-126.3322
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1984-04-04,1984,4,Nitrogen Total,tn,0.55,mg/L,NA,NA,FALSE,54.3967,-126.7092
0400201,BULKLEY R CONTROL AT HOUSTON EAST BRIDGE,1974-09-17,1974,9,Nitrogen Total,tn,0.2,mg/L,NA,NA,FALSE,54.4044,-126.6389
0400201,BULKLEY R CONTROL AT HOUSTON EAST BRIDGE,1975-10-07,1975,10,Phosphorus Ort.Dis-P,srp,0.003,mg/L,NA,<,TRUE,54.4044,-126.6389
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,1974-07-10,1974,7,Nitrogen Kjel.Tot(N),tkn,0.27,mg/L,NA,NA,FALSE,54.3936,-126.6725
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1987-05-19,1987,5,Phosphorus Total,tp,0.074,mg/L,NA,NA,FALSE,54.3967,-126.7092
