ems_id,monitoring_location,date,year,month,parameter,param_abb,result,unit,method_detection_limit,result_letter,below_detect,latitude,longitude
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,1987-08-13,1987,8,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.09,mg/L,NA,NA,FALSE,54.1556,-126.3069
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,1986-08-11,1986,8,Nitrogen Kjel.Tot(N),tkn,0.44,mg/L,NA,NA,FALSE,54.1681,-126.3322
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,1987-04-20,1987,4,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.05,mg/L,NA,NA,FALSE,54.1681,-126.3322
E216165,GOLDCORP EQUITY MINE (PE04475) TAILINGS POND SUPERNATANT,2023-07-31,2023,7,Nitrate (NO3) Dissolved,no3,0.025,mg/L,0.025,<,TRUE,54.12127,-126.16326
0700108,FOXY C UPSTREAM OF BRIDGE,2024-09-09,2024,9,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.3214,-126.1261
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,2024-04-22,2024,4,Phosphorus Total,tp,0.052,mg/L,0.05,NA,FALSE,54.1556,-126.3069
0400762,BESSEMER CREEK EQUITY MINE,1983-02-08,1983,2,Nitrogen - Nitrite Dissolved (NO2),no2,0.005,mg/L,NA,<,TRUE,54.1897,-126.2756
0400762,BESSEMER CREEK EQUITY MINE,1983-02-08,1983,2,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.09,mg/L,NA,NA,FALSE,54.1897,-126.2756
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1984-07-03,1984,7,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.02,mg/L,NA,<,TRUE,54.3967,-126.7092
E294171,WQ E2 (PARROT FSR),2013-12-11,2013,12,Nitrate (NO3) Dissolved,no3,0.0154,mg/L,0.002,NA,FALSE,54.158524,-126.313944
E294173,WQ E4 (47.5 PARROT FSR),2014-07-30,2014,7,Phosphorus Ort.Dis-P,srp,0.0076,mg/L,0.001,NA,FALSE,54.142522,-126.268519
