Site Code,Site Visit Date,Sample Number,Habitat Type,Parameter,Unit,Value
BUL-04,2025-10-02,4,Channel,XSEC-DistanceFromShore,m,4.8
BUL-04,2025-10-02,4,Channel,XSEC-DepthChannel,cm,13.5
BUL-04,2025-10-02,4,Channel,XSEC-DepthFlowingWater,cm,13.5
BUL-04,2025-10-02,4,Channel,XSEC-DepthStagnation,cm,13.5
BUL-04,2025-10-02,5,Channel,XSEC-DistanceFromShore,m,6.6
BUL-04,2025-10-02,5,Channel,XSEC-DepthChannel,cm,22
BUL-04,2025-10-02,5,Channel,XSEC-DepthFlowingWater,cm,15
BUL-04,2025-10-02,5,Channel,XSEC-DepthStagnation,cm,15
BUL-04,2025-10-02,6,Channel,XSEC-DepthFlowingWater,cm,25
BUL-04,2025-10-02,6,Channel,XSEC-DepthStagnation,cm,15
BUL-01,2025-10-03,1,Channel,XSEC-DistanceFromShore,m,2.4
BUL-01,2025-10-03,1,Channel,XSEC-DepthChannel,cm,6.5
BUL-01,2025-10-03,1,Channel,XSEC-DepthFlowingWater,cm,2.1
BUL-01,2025-10-03,1,Channel,XSEC-DepthStagnation,cm,2.35
BUL-01,2025-10-03,2,Channel,XSEC-DistanceFromShore,m,4.8
BUL-01,2025-10-03,2,Channel,XSEC-DepthChannel,cm,14.5
BUL-01,2025-10-03,2,Channel,XSEC-DepthFlowingWater,cm,16.5
BUL-01,2025-10-03,2,Channel,XSEC-DepthStagnation,cm,14.5
BUL-01,2025-10-03,2,Channel,XSEC-Velocity,m/s,0.7
BUL-01,2025-10-03,3,Channel,XSEC-DistanceFromShore,m,7.2
BUL-01,2025-10-03,3,Channel,XSEC-DepthChannel,cm,14.5
BUL-01,2025-10-03,3,Channel,XSEC-DepthFlowingWater,cm,10.5
BUL-01,2025-10-03,3,Channel,XSEC-DepthStagnation,cm,12.5
BUL-01,2025-10-03,4,Channel,XSEC-DistanceFromShore,m,9.6
BUL-01,2025-10-03,4,Channel,XSEC-DepthChannel,cm,10.5
BUL-01,2025-10-03,4,Channel,XSEC-DepthFlowingWater,cm,18.5
BUL-01,2025-10-03,4,Channel,XSEC-DepthStagnation,cm,21
BUL-01,2025-10-03,5,Channel,XSEC-DistanceFromShore,m,12
BUL-01,2025-10-03,5,Channel,XSEC-DepthChannel,cm,22
BUL-01,2025-10-03,5,Channel,XSEC-DepthFlowingWater,cm,22
BUL-01,2025-10-03,5,Channel,XSEC-DepthStagnation,cm,13.5
BUL-01,2025-10-03,6,Channel,XSEC-DepthChannel,cm,16.5
BUL-01,2025-10-03,6,Channel,XSEC-Velocity,m/s,0.63
BUL-05,2025-09-28,1,Substrate Data,D50,cm,7.5
BUL-05,2025-09-28,1,Substrate Data,Dg,cm,7.84
BUL-05,2025-09-28,1,Substrate Data,Diameter-Mean,cm,9.53
BUL-05,2025-09-28,1,Substrate Data,%Silt+Clay,%,0
BUL-05,2025-09-28,1,Substrate Data,%Sand,%,0
BUL-05,2025-09-28,1,Substrate Data,%Gravel,%,7
BUL-05,2025-09-28,1,Substrate Data,%Pebble,%,21
BUL-05,2025-09-28,1,Substrate Data,%Cobble,%,70
BUL-05,2025-09-28,1,Substrate Data,%Boulder,%,2
BUL-05,2025-09-28,1,Substrate Data,Dominant-1st,Category(0-9),6
BUL-05,2025-09-28,1,Substrate Data,Dominant-2nd,Category(0-9),5
BUL-05,2025-09-28,1,Substrate Data,Embeddedness,Category(0-4),1
BUL-05,2025-09-28,1,Substrate Data,PebbleCount,cm,"10,9,6.5,10,3.5,7,4.5,8,5.5,5,17,6,2.5,10,3,14,9.5,4,18,9,13,10,7.5,7,10,7.5,13.5,5,7.5,7.5,12,9,6,7,11.5,3,14.5,3,9,1,7.5,11,13.5,5,7,7.5,10,7,10,67,10,6.5,6.5,4,7,5.5,10.5,6.5,7.5,10,20,4,5,15,10,12,17,10,9,60,2,12,3,4,6.5,10,6,6,5,9,11,13,9,7,7.5,20,4,5,10,12,17,10,9,7,7,6,5,7,7,7.5"
BUL-04,2025-10-02,1,Substrate Data,D50,cm,3.5
BUL-04,2025-10-02,1,Substrate Data,Dg,cm,2.91
BUL-04,2025-10-02,1,Substrate Data,Diameter-Mean,cm,3.28
BUL-04,2025-10-02,1,Substrate Data,%Silt+Clay,%,5
BUL-04,2025-10-02,1,Substrate Data,%Sand,%,0
BUL-04,2025-10-02,1,Substrate Data,%Gravel,%,39
BUL-04,2025-10-02,1,Substrate Data,%Pebble,%,52
BUL-04,2025-10-02,1,Substrate Data,%Cobble,%,4
BUL-04,2025-10-02,1,Substrate Data,%Boulder,%,0
BUL-04,2025-10-02,1,Substrate Data,Dominant-1st,Category(0-9),5
BUL-04,2025-10-02,1,Substrate Data,Dominant-2nd,Category(0-9),3
BUL-04,2025-10-02,1,Substrate Data,Embeddedness,Category(0-4),0
BUL-04,2025-10-02,1,Substrate Data,PebbleCount,cm,"1.5,1.5,2.5,2.5,2.5,2.5,5.5,5.5,1.5,2.5,2.5,2.5,2.5,0.25,0.5,2.5,20,3.5,3.5,3.5,1.5,1.5,1.5,1.5,1.5,3,1,1.5,5.5,0.5,5,3.5,6,7.5,6,3.5,3,1.5,0,0,3.5,3.5,3.5,1.5,1.5,1.5,1.5,5,6,5,3.5,3.5,5,5.5,5.5,5,5,3.5,3.5,0,3.5,6.5,3.5,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,2.5,0,0,0.5,3.5,5,5,5,3.5,2.5,3.5,6.5,1.5,2.5,2.5,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3.5,3.5,2.5"
BUL-01,2025-10-03,1,Substrate Data,D50,cm,5.5
